"Title","Year","Main Project Image","Client Name","ID","Created Date","Updated Date","Owner","AUTHORIAL (Title)","AUTHORIAL (All)","URL","Publish Date","Unpublish Date","Status"
"Linguistics x Mathematics: An Interview with Alex Bellos [Issue 4 | Spring 2021]",2021,"wix:image://v1/a8ef53_e54fdb320ee749daad44fbe859f92f41~mv2.png/Screenshot%202021-12-05%20at%2021.12.05.png#originWidth=2278&originHeight=1617","<p class=""font_8""><em>U-Lingua</em></p>","00000000-0000-0000-0000-000000000002",2021-12-05T21:09:33Z,2021-12-05T21:19:04Z,"a8ef5320-2eb4-4061-9af7-ffcde4f02607","/authorialportfolio/linguistics-x-mathematics%3A-an-interview-with-alex-bellos-%5Bissue-4-%7C-spring-2021%5D","/authorialportfolio/","https://issuu.com/u-lingua/docs/u-lingua_issue_4",,,"PUBLISHED"
"Let’s Talk: An Interview with David Crystal [Issue 6 | Autumn 2021 | The Human Issue]",2021,"wix:image://v1/a8ef53_07e379a832a142eda03223cd6afa9a05~mv2.png/Screenshot%202021-12-05%20at%2021.14.52.png#originWidth=2277&originHeight=1618","<p class=""font_8""><em>U-Lingua</em></p>","00000000-0000-0000-0000-000000000006",2021-12-05T21:09:33Z,2021-12-05T21:19:10Z,"a8ef5320-2eb4-4061-9af7-ffcde4f02607","/authorialportfolio/let%E2%80%99s-talk%3A-an-interview-with-david-crystal-%5Bissue-6-%7C-autumn-2021-%7C-the-human-issue%5D","/authorialportfolio/","https://issuu.com/u-lingua/docs/issue_6_final",,,"PUBLISHED"
"How to… Ace an Online Exam",2022,"wix:image://v1/a8ef53_6e7201ff52a14edcb3ab1dd98a716de1~mv2.png/Screenshot%202022-04-08%20at%2021.40.10.png#originWidth=2454&originHeight=1734","<p class=""font_8""><em>U-Lingua</em></p>","14d327f2-66d1-4bd6-9f6e-2eafc8d9b85e",2022-04-08T20:53:01Z,2022-04-08T20:53:01Z,"a8ef5320-2eb4-4061-9af7-ffcde4f02607","/authorialportfolio/how-to%E2%80%A6-ace-an-online-exam","/authorialportfolio/","https://issuu.com/u-lingua/docs/issue_8_forweb",,,"PUBLISHED"
"Egg Tarts (ft. the British Empire) [Cantonese Remix]",2022,"wix:image://v1/a8ef53_7346885e3cd14fb698d7011e5c23e466~mv2.png/49-494824_drawing-of-the-dim-sum-style-egg-tart.png#originWidth=608&originHeight=411","<p class=""font_8""><em>Cambridge Language Collective</em></p>","33cdf303-1db9-44dc-9044-3a9ac96a2a3e",2022-04-08T20:50:01Z,2022-08-01T15:52:27Z,"a8ef5320-2eb4-4061-9af7-ffcde4f02607","/authorialportfolio/egg-tarts-(ft.-the-british-empire)-%5Bcantonese-remix%5D","/authorialportfolio/","https://www.thecambridgelanguagecollective.com/arts-and-culture/eggtarts",,,"PUBLISHED"
"Bella & Duke Cat Food Review 2023: Our Expert’s Opinion",2023,"wix:image://v1/a8ef53_cf102cd40b7c419188db6afc003ea673~mv2.webp/bella-and-duke-cat-food-review-pk2.webp#originWidth=1024&originHeight=512","<p class=""font_8"">PetKeen.com</p>","44e3f6ca-8ccc-4a22-b854-10f3fe3156b1",2023-04-28T17:52:27Z,2023-04-28T17:52:27Z,"a8ef5320-2eb4-4061-9af7-ffcde4f02607","/authorialportfolio/bella-%26-duke-cat-food-review-2023%3A-our-expert%E2%80%99s-opinion","/authorialportfolio/","https://petkeen.com/bella-and-duke-cat-food-review/",2023-04-28T17:50:47Z,,"PUBLISHED"
"Love Story to World Domination – a Linguist’s Take on Wordle",2022,"wix:image://v1/a8ef53_4364606830474b08af11f797209460aa~mv2.png/wordle_og_1200x630.png#originWidth=1200&originHeight=630","<p class=""font_8""><em>Cambridge Language Collective</em></p>","5d124bf7-fba1-4c55-a2cb-17be2af07c07",2022-04-08T20:50:27Z,2022-04-08T20:51:41Z,"a8ef5320-2eb4-4061-9af7-ffcde4f02607","/authorialportfolio/love-story-to-world-domination-%E2%80%93-a-linguist%E2%80%99s-take-on-wordle","/authorialportfolio/","https://www.thecambridgelanguagecollective.com/arts-and-culture/wordle",,,"PUBLISHED"
"Is Instagram the world's hottest museum?",2022,"wix:image://v1/a8ef53_707c39c6b1664fb2a100eead028839b9~mv2.png/Screenshot%202022-08-01%20at%2016.54.25.png#originWidth=2084&originHeight=1104","<p class=""font_8"">The Dyás</p>","87113166-2f79-4a85-aecd-b973c87a5e3b",2022-08-01T15:52:37Z,2022-08-01T15:55:10Z,"a8ef5320-2eb4-4061-9af7-ffcde4f02607","/authorialportfolio/is-instagram-the-world's-hottest-museum%3F","/authorialportfolio/","https://thedyas.com/blogs/the-dyas-magazine/instagram-world-hottest-museum",,,"PUBLISHED"
"When in Rome: A Tour of the City (forthcoming)",2022,"wix:image://v1/a8ef53_dd827cdec3dd4e84a883a3a96802a592~mv2.jpg/FFAD1F08-C890-40AD-AA41-A636D0A26EEE_edited.jpg#originWidth=1514&originHeight=2147","<p class=""font_8""><em>Cambridge Language Collective</em></p>","93f801b0-3ef5-4c97-a4cd-c7da5791cd24",2021-12-05T21:17:33Z,2022-01-22T10:38:26Z,"a8ef5320-2eb4-4061-9af7-ffcde4f02607","/authorialportfolio/when-in-rome%3A-a-tour-of-the-city-(forthcoming)","/authorialportfolio/","https://www.thecambridgelanguagecollective.com/arts-and-culture/pnpnzfkr9rckf9wvjhskn1rqo3k22k",,,"PUBLISHED"
"Art Commissioning: Three Case Studies on One of the Driving Forces Shaping Art History",2022,"wix:image://v1/a8ef53_04cb3a40f6bb46f299066bdbb0baa203~mv2.png/img_616863737973d.jpeg#originWidth=480&originHeight=624","<p class=""font_8"">The Dyás</p>","b6db5cf9-8dcd-4e43-9047-a4333ccec603",2022-08-01T15:55:10Z,2022-08-01T15:56:09Z,"a8ef5320-2eb4-4061-9af7-ffcde4f02607","/authorialportfolio/art-commissioning%3A-three-case-studies-on-one-of-the-driving-forces-shaping-art-history","/authorialportfolio/",,,,"PUBLISHED"
"The Top 5 ‘New Year Resolutions’ for Business Owners",2022,"wix:image://v1/a8ef53_6db7c8ee9545418fa6e0365cfb1bfdad~mv2.jpeg/New-Years-Resolutions-scaled.jpeg#originWidth=2560&originHeight=853","<p class=""font_8"">Purposeful Ventures Ltd</p>","d1c52238-d2e2-4d5c-9239-b8aa54917a39",2022-01-22T10:39:15Z,2022-01-22T10:41:09Z,"a8ef5320-2eb4-4061-9af7-ffcde4f02607","/authorialportfolio/the-top-5-%E2%80%98new-year-resolutions%E2%80%99-for-business-owners","/authorialportfolio/","https://p16s.co/2022/01/14/top-5-new-year-resolutions-business-owners/",,,"PUBLISHED"
