"Title","Year","Client Name","ID","Created Date","Updated Date","Owner","Editorial Portfolio","EDITORIAL (All)","URL","Cover"
"A New Frontier for Linguistics: Gretchen McCulloch’s ‘Because Internet’",2021,"<p class=""font_8""><em>Cambridge Language Collective</em></p>","00000000-0000-0000-0000-000000000001",2021-12-05T20:33:12Z,2021-12-05T21:02:08Z,"a8ef5320-2eb4-4061-9af7-ffcde4f02607","/editorialportfolio/a-new-frontier-for-linguistics%3A-gretchen-mcculloch%E2%80%99s-%E2%80%98because-internet%E2%80%99","/editorial/","https://www.thecambridgelanguagecollective.com/politics-and-society/eet18qjpkeelygxop5q7crcvyt5s31","wix:image://v1/a8ef53_b358a02e9c164bfbab047b5d70296ac1~mv2.png/because-internet-3d-hardcover-bookshot.png#originWidth=1477&originHeight=2100"
"Issue 5 | Summer 2021 | The Meaning Issue",2021,"<p class=""font_8""><em>U-Lingua</em></p>","00000000-0000-0000-0000-000000000002",2021-12-05T20:33:12Z,2021-12-05T20:55:45Z,"a8ef5320-2eb4-4061-9af7-ffcde4f02607","/editorialportfolio/issue-5-%7C-summer-2021-%7C-the-meaning-issue","/editorial/","https://issuu.com/u-lingua/docs/u-lingua_issue_5_v6","wix:image://v1/a8ef53_592fc5fa201340488721617455d26e1c~mv2.png/Screenshot%202021-12-05%20at%2020.54.14.png#originWidth=1145&originHeight=1618"
"Lost Syllables and Found Debates",2021,"<p class=""font_8""><em>Cambridge Language Collective</em></p>","00000000-0000-0000-0000-000000000003",2021-12-05T20:33:12Z,2021-12-05T21:02:31Z,"a8ef5320-2eb4-4061-9af7-ffcde4f02607","/editorialportfolio/lost-syllables-and-found-debates","/editorial/","https://www.thecambridgelanguagecollective.com/arts-and-culture/pmui333k7hcpcksl47mb5eywk3vijo","wix:image://v1/a8ef53_8e19811937a941839747dbc4f50d2cdf~mv2.jpeg/640px-Book_of_Odes_Dainembutsuji.jpeg#originWidth=640&originHeight=317"
"Mediocre Pauses; Reviewing ‘Semicolon’ by Cecelia Watson",2021,"<p class=""font_8""><em>Cambridge Language Collective</em></p>","00000000-0000-0000-0000-000000000004",2021-12-05T20:33:12Z,2021-12-05T21:03:16Z,"a8ef5320-2eb4-4061-9af7-ffcde4f02607","/editorialportfolio/mediocre-pauses%3B-reviewing-%E2%80%98semicolon%E2%80%99-by-cecelia-watson","/editorial/","https://www.thecambridgelanguagecollective.com/arts-and-culture/bsq9ic9k7y3fokskdgxankxyz0b944","wix:image://v1/a8ef53_ea50acb5d96e481cb9fad5541fb67d3d~mv2.jpeg/semicolon+cover+final+US.jpeg#originWidth=450&originHeight=648"
"Issue 7 | Winter 2022| The Change Issue",2022,"<p class=""font_8""><em>U-Lingua</em></p>","00000000-0000-0000-0000-000000000005",2021-12-05T20:33:12Z,2022-01-22T10:42:04Z,"a8ef5320-2eb4-4061-9af7-ffcde4f02607","/editorialportfolio/issue-7-%7C-winter-2022%7C-the-change-issue","/editorial/","https://issuu.com/home/published/issue_7_final_split","wix:image://v1/a8ef53_db8b51e433294ef2bec087e45791600c~mv2.png/cover%20reveal_issue%207_v2.png#originWidth=2362&originHeight=2362"
"Issue 6 | Autumn 2021 | The Human Issue",2021,"<p class=""font_8""><em>U-Lingua</em></p>","00000000-0000-0000-0000-000000000006",2021-12-05T20:33:12Z,2021-12-05T20:59:06Z,"a8ef5320-2eb4-4061-9af7-ffcde4f02607","/editorialportfolio/issue-6-%7C-autumn-2021-%7C-the-human-issue","/editorial/","https://issuu.com/u-lingua/docs/issue_6_final","wix:image://v1/a8ef53_201e234c84204ac2a0f0bd958fed5891~mv2.png/front%20cover_issue%206.png#originWidth=4320&originHeight=4320"
"Is Translation Ever True?",2022,"<p class=""font_8""><em>Cambridge Language Collective</em></p>","0a81126b-c737-4437-b3f5-40db07b0f396",2022-01-22T21:46:43Z,2022-01-22T21:49:19Z,"a8ef5320-2eb4-4061-9af7-ffcde4f02607","/editorialportfolio/is-translation-ever-true%3F","/editorial/","https://www.thecambridgelanguagecollective.com/arts-and-culture/n0oss7ud87wlfcjmn7fwqd5cxw8df8","wix:image://v1/a8ef53_b494a7dbcc5c449ba2e76dd5cc2eac4b~mv2.png/translate-6089103_1280.png#originWidth=1280&originHeight=867"
"Can You Truly Learn a Language on Duolingo?",2022,"<p class=""font_8""><em>Cambridge Language Collective</em></p>
<p class=""font_8""><br></p>","1c543b31-0c28-465b-b5fa-f74767d7ea49",2022-01-22T21:45:05Z,2022-04-08T20:46:56Z,"a8ef5320-2eb4-4061-9af7-ffcde4f02607","/editorialportfolio/can-you-truly-learn-a-language-on-duolingo%3F","/editorial/","https://www.thecambridgelanguagecollective.com/arts-and-culture/can-you-truly-learn-a-language-on-duolingo","wix:image://v1/a8ef53_b4c2f58523b74fdb9eca32437562dc04~mv2.png/640px-Duolingo_logo_(2019).svg.png#originWidth=640&originHeight=150"
"Tongue Tied II - the Cornish Comeback",2021,"<p class=""font_8""><em>Cambridge Language Collective</em></p>","1d8215d1-03bf-4a2d-8e55-065e1a4013ff",2021-12-05T20:43:10Z,2021-12-05T21:04:05Z,"a8ef5320-2eb4-4061-9af7-ffcde4f02607","/editorialportfolio/tongue-tied-ii---the-cornish-comeback","/editorial/","https://www.thecambridgelanguagecollective.com/columns/qv1d75yipowch920vdb2l8v9tnjd80","wix:image://v1/a8ef53_9adac0014a494a0cbcf4498766c73e67~mv2.png/1200px-Flag_of_Cornwall.svg.png#originWidth=1200&originHeight=800"
"Tongue Tied I - the Crumbling Remnants of Occitan",2021,"<p class=""font_8""><em>Cambridge Language Collective</em></p>","580347f3-28d5-4969-970b-18d6d2e94290",2021-12-05T20:41:41Z,2021-12-05T21:03:37Z,"a8ef5320-2eb4-4061-9af7-ffcde4f02607","/editorialportfolio/tongue-tied-i---the-crumbling-remnants-of-occitan","/editorial/","https://www.thecambridgelanguagecollective.com/columns/1m0c3vtb5x9jx381vajhm3y3nxzwjz","wix:image://v1/a8ef53_bdae8c53000c48b3ae284b25ba394129~mv2.png/640px-Banner_of_Occitania.svg.png#originWidth=640&originHeight=640"
"Two Birds with One Stone II - Full of Beanz",2022,"<p class=""font_8""><em>Cambridge Language Collective</em></p>","81849961-1a14-43c1-8237-dd9dcdd7799c",2022-04-08T20:44:18Z,2022-04-08T20:44:18Z,"a8ef5320-2eb4-4061-9af7-ffcde4f02607","/editorialportfolio/two-birds-with-one-stone-ii---full-of-beanz","/editorial/","https://www.thecambridgelanguagecollective.com/columns/izqe1w9m3ztzpwftl1yh2w3m8rryy4","wix:image://v1/a8ef53_382675c7625e4df5b6420bbbd85b6c0f~mv2.jpeg/640px-BeansOnToast.jpeg#originWidth=640&originHeight=510"
"Tongue Tied IV - Sámi on the Brink",2022,"<p class=""font_8""><em>Cambridge Language Collective</em></p>","8a29cf82-66ac-470f-8f40-7458a02125f6",2022-04-08T20:41:31Z,2022-04-08T20:41:56Z,"a8ef5320-2eb4-4061-9af7-ffcde4f02607","/editorialportfolio/tongue-tied-iv---s%C3%A1mi-on-the-brink","/editorial/","https://www.thecambridgelanguagecollective.com/columns/rfuqhjtuql2ghnvtbhs0gykikzbu0y","wix:image://v1/a8ef53_6588dae8f1fd48d89f699d95daf6c245~mv2.png/Southern_sami_and_ume_sami.png#originWidth=640&originHeight=476"
"Tongue Tied III – Pondering Pontic Greek",2021,"<p class=""font_8""><em>Cambridge Language Collective</em></p>","ad51ae15-713a-4752-a72d-58c596167161",2021-12-05T20:43:17Z,2022-01-22T21:47:15Z,"a8ef5320-2eb4-4061-9af7-ffcde4f02607","/editorialportfolio/tongue-tied-iii-%E2%80%93-pondering-pontic-greek","/editorial/","http://www.thecambridgelanguagecollective.com/columns/tongue-tied-iii-pontic-greek","wix:image://v1/a8ef53_e91e029f6a7c4a1e8c3c26b488a2c401~mv2.png/640px-East_roman_flag.png#originWidth=640&originHeight=640"
"Two Birds with One Stone - New Leaves",2022,"<p class=""font_8""><em>Cambridge Language Collective</em></p>","e83941d1-f045-4672-a3c0-f4bea3de91a2",2022-04-08T20:43:17Z,2022-04-08T20:54:32Z,"a8ef5320-2eb4-4061-9af7-ffcde4f02607","/editorialportfolio/two-birds-with-one-stone---new-leaves","/editorial/","https://www.thecambridgelanguagecollective.com/columns/n40bx43w3f58ahc79lvxxq9bq1zafo","wix:image://v1/a8ef53_203ff3a729244ca795dda9ad1a3015aa~mv2.jpeg/leaf-ga4ec4ce53_1920.jpeg#originWidth=1920&originHeight=1280"
"U-Lingua | Spring 2022, Issue 8 | The Digital Issue",2022,"<p class=""font_8""><em>U-Lingua</em></p>","f27dc1b9-c3a1-4926-8709-0adea2113341",2022-04-08T20:47:57Z,2022-04-08T20:54:24Z,"a8ef5320-2eb4-4061-9af7-ffcde4f02607","/editorialportfolio/u-lingua-%7C-spring-2022%2C-issue-8-%7C-the-digital-issue","/editorial/","https://issuu.com/u-lingua/docs/issue_8_forweb","wix:image://v1/a8ef53_7229f2e47dfc4a9499f35b0313c57959~mv2.png/cover%20reveal.png#originWidth=2362&originHeight=2362"
